pair_id,pair_ai,trial_id,batch,target_identity,target_ai,control_framing,target_framing,note_timing,request_order,control_task,target_task,target_begun_first
efficiency_control|efficiency|distress|after|control_first|gpt4o|189,gpt4o,T00383,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|189,gpt4o,T00692,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|188,gpt4o,T00382,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|188,gpt4o,T00691,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|187,gpt4o,T00381,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|187,gpt4o,T00690,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|183,gpt4o,T00380,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|183,gpt4o,T00686,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|182,gpt4o,T00379,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|182,gpt4o,T00685,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|181,gpt4o,T00378,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|181,gpt4o,T00684,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|180,gpt4o,T00377,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|180,gpt4o,T00683,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|179,gpt4o,T00376,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|179,gpt4o,T00682,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|177,gpt4o,T00375,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|177,gpt4o,T00680,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|172,gpt4o,T00374,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|172,gpt4o,T00675,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|171,gpt4o,T00373,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|171,gpt4o,T00674,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|170,gpt4o,T00372,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|170,gpt4o,T00673,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|169,gpt4o,T00371,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|169,gpt4o,T00672,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|167,gpt4o,T00370,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|167,gpt4o,T00670,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|166,gpt4o,T00369,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|166,gpt4o,T00669,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|164,gpt4o,T00368,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|164,gpt4o,T00667,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|163,gpt4o,T00367,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|163,gpt4o,T00666,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|162,gpt4o,T00366,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|162,gpt4o,T00665,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|161,gpt4o,T00365,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|161,gpt4o,T00664,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|160,gpt4o,T00364,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|160,gpt4o,T00663,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|158,gpt4o,T00363,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|158,gpt4o,T00661,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|156,gpt4o,T00362,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|156,gpt4o,T00659,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|155,gpt4o,T00361,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|155,gpt4o,T00658,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|152,gpt4o,T00360,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|152,gpt4o,T00655,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt4o|151,gpt4o,T00359,efficiency_control,ai,gpt4o,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt4o|151,gpt4o,T00654,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt41|200,gpt41,T00202,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|200,gpt41,T00703,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|199,gpt41,T00201,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt41|199,gpt41,T00702,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt41|193,gpt41,T00200,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|193,gpt41,T00696,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|191,gpt41,T00199,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|191,gpt41,T00694,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|189,gpt41,T00198,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|189,gpt41,T00692,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|187,gpt41,T00197,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|187,gpt41,T00690,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|186,gpt41,T00196,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|186,gpt41,T00689,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|183,gpt41,T00195,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|183,gpt41,T00686,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|182,gpt41,T00194,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|after|control_first|gpt41|182,gpt41,T00685,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|181,gpt41,T00227,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|181,gpt41,T00684,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|180,gpt41,T00193,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|180,gpt41,T00683,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt41|178,gpt41,T00192,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|178,gpt41,T00681,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|176,gpt41,T00191,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|176,gpt41,T00679,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|173,gpt41,T00190,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt41|173,gpt41,T00676,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt41|168,gpt41,T00189,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,meeting_efficiency,release_notes,0
efficiency_control|efficiency|distress|after|control_first|gpt41|168,gpt41,T00671,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|167,gpt41,T00188,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|167,gpt41,T00670,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|165,gpt41,T00187,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|165,gpt41,T00668,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|164,gpt41,T00186,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt41|164,gpt41,T00667,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt41|163,gpt41,T00185,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|163,gpt41,T00666,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|162,gpt41,T00184,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt41|162,gpt41,T00665,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt41|159,gpt41,T00183,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|159,gpt41,T00662,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|after|control_first|gpt41|158,gpt41,T00182,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|158,gpt41,T00661,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt41|157,gpt41,T00181,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|157,gpt41,T00660,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|156,gpt41,T00180,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt41|156,gpt41,T00659,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|154,gpt41,T00179,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|154,gpt41,T00657,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,1
efficiency_control|efficiency|distress|after|control_first|gpt41|153,gpt41,T00178,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|153,gpt41,T00656,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|150,gpt41,T00177,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|150,gpt41,T00653,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|gpt41|149,gpt41,T00176,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|gpt41|149,gpt41,T00652,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,backup_runbook,1
efficiency_control|efficiency|distress|after|control_first|gpt41|148,gpt41,T00175,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|gpt41|148,gpt41,T00651,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt41|147,gpt41,T00174,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt41|147,gpt41,T00650,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt41|146,gpt41,T00173,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|146,gpt41,T00649,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|145,gpt41,T00172,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|145,gpt41,T00648,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,release_notes,1
efficiency_control|efficiency|distress|after|control_first|gpt41|144,gpt41,T00171,efficiency_control,ai,gpt41,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|gpt41|144,gpt41,T00647,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|191,sonnet45,T00503,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|191,sonnet45,T00694,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,backup_runbook,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|188,sonnet45,T00502,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|188,sonnet45,T00691,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|178,sonnet45,T00501,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|178,sonnet45,T00681,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|170,sonnet45,T00500,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|170,sonnet45,T00673,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|162,sonnet45,T00499,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|162,sonnet45,T00665,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|150,sonnet45,T00498,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|150,sonnet45,T00653,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|135,sonnet45,T00497,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|135,sonnet45,T00638,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|127,sonnet45,T00496,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|127,sonnet45,T00630,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|122,sonnet45,T00495,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|122,sonnet45,T00625,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|121,sonnet45,T00494,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|121,sonnet45,T00624,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|118,sonnet45,T00493,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|118,sonnet45,T00621,efficiency_control,human,,efficiency,distress,after,control_first,meeting_efficiency,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|114,sonnet45,T00492,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|114,sonnet45,T00617,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|113,sonnet45,T00491,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|113,sonnet45,T00616,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|109,sonnet45,T00490,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|109,sonnet45,T00612,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|108,sonnet45,T00489,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|108,sonnet45,T00611,efficiency_control,human,,efficiency,distress,after,control_first,onboarding_checklist,meeting_efficiency,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|105,sonnet45,T00488,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|105,sonnet45,T00608,efficiency_control,human,,efficiency,distress,after,control_first,release_notes,onboarding_checklist,0
efficiency_control|efficiency|distress|after|control_first|sonnet45|103,sonnet45,T00487,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|103,sonnet45,T00606,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,onboarding_checklist,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|102,sonnet45,T00486,efficiency_control,ai,sonnet45,efficiency,distress,after,control_first,backup_runbook,release_notes,1
efficiency_control|efficiency|distress|after|control_first|sonnet45|102,sonnet45,T00605,efficiency_control,human,,efficiency,distress,after,control_first,backup_runbook,release_notes,1
